"TEAMID","CARBODYTYPE","TOTAL_MAINTENANCE_COST","CUMULATIVE_MAINTENANCE_COST"
"T001","Bus",25900,"    25,900.00"
"T001","Mini Bus",18700,"    44,600.00"
"T001","People Mover",21600,"    66,200.00"
"T002","Bus",18400,"    18,400.00"
"T002","Mini Bus",19300,"    37,700.00"
"T002","People Mover",25000,"    62,700.00"
"T003","Bus",26500,"    26,500.00"
"T003","Mini Bus",14700,"    41,200.00"
"T003","People Mover",21400,"    62,600.00"
"T004","Bus",18900,"    18,900.00"
"T004","Mini Bus",13400,"    32,300.00"
"T004","People Mover",16100,"    48,400.00"
"T005","Bus",23800,"    23,800.00"
"T005","Mini Bus",22500,"    46,300.00"
"T005","People Mover",16500,"    62,800.00"
