"Car body type","Age group","Faculty ID","Total number of bookings"
"People Mover","All Age Groups","All Faculties"," 3,396"
"People Mover","All Age Groups","ART","   453"
"People Mover","All Age Groups","BUS","   314"
"People Mover","All Age Groups","ENG","   841"
"People Mover","All Age Groups","FIT"," 1,009"
"People Mover","All Age Groups","SCI","   779"
"People Mover","Group1","All Faculties"," 1,380"
"People Mover","Group1","ART","   169"
"People Mover","Group1","BUS","   121"
"People Mover","Group1","ENG","   382"
"People Mover","Group1","FIT","   390"
"People Mover","Group1","SCI","   318"
"People Mover","Group2","All Faculties"," 1,722"
"People Mover","Group2","ART","   284"
"People Mover","Group2","BUS","   193"
"People Mover","Group2","ENG","   429"
"People Mover","Group2","FIT","   497"
"People Mover","Group2","SCI","   319"
"People Mover","Group3","All Faculties","   294"
"People Mover","Group3","ENG","    30"
"People Mover","Group3","FIT","   122"
"People Mover","Group3","SCI","   142"
